name,released_tmdb,rating,genre,year,released,score,votes,director,writer,star,country,budget,gross,company,runtime
Moonrise Kingdom,2012-05-16,PG-13,Comedy,2012,"June 29, 2012 (United States)",7.8,327000.0,Wes Anderson,Wes Anderson,Jared Gilman,United States,16000000.0,68264022.0,Indian Paintbrush,94.0
Juno,2007-12-05,PG-13,Comedy,2007,"December 25, 2007 (United States)",7.4,499000.0,Jason Reitman,Diablo Cody,Elliot Page,United States,7500000.0,232372681.0,Fox Searchlight Pictures,96.0
Thirteen,2003-08-20,R,Drama,2003,"September 19, 2003 (United States)",6.8,81000.0,Catherine Hardwicke,Catherine Hardwicke,Evan Rachel Wood,United States,2000000.0,10128960.0,Fox Searchlight Pictures,100.0
20th Century Women,2016-12-28,R,Comedy,2016,"January 20, 2017 (United States)",7.3,42000.0,Mike Mills,Mike Mills,Annette Bening,United States,7000000.0,7214806.0,A24,119.0
Me and Earl and the Dying Girl,2015-06-12,PG-13,Comedy,2015,"July 1, 2015 (United States)",7.7,126000.0,Alfonso Gomez-Rejon,Jesse Andrews,Thomas Mann,United States,8000000.0,9074749.0,Fox Searchlight Pictures,105.0
The Wackness,2008-07-03,R,Comedy,2008,"August 1, 2008 (United States)",7.0,30000.0,Jonathan Levine,Jonathan Levine,Josh Peck,United Kingdom,6000000.0,3175469.0,Occupant Entertainment,99.0
Billy Elliot,2000-05-18,R,Drama,2000,"November 10, 2000 (United States)",7.7,129000.0,Stephen Daldry,Lee Hall,Jamie Bell,United Kingdom,5000000.0,109283018.0,StudioCanal,110.0
Ferris Bueller's Day Off,1986-06-11,PG-13,Comedy,1986,"June 11, 1986 (United States)",7.8,330000.0,John Hughes,John Hughes,Matthew Broderick,United States,6000000.0,70720215.0,Paramount Pictures,103.0
The Kings of Summer,2013-01-19,R,Adventure,2013,"August 23, 2013 (United Kingdom)",7.1,79000.0,Jordan Vogt-Roberts,Chris Galletta,Nick Robinson,United States,,1501595.0,Big Beach Films,95.0
Boyhood,2014-06-05,R,Drama,2014,"August 15, 2014 (United States)",7.9,341000.0,Richard Linklater,Richard Linklater,Ellar Coltrane,United States,4000000.0,48137666.0,IFC Productions,165.0
My Friend Dahmer,2017-11-03,R,Biography,2017,"March 2, 2018 (France)",6.2,17000.0,Marc Meyers,Marc Meyers,Ross Lynch,United States,,1436751.0,Ibid Filmworks,107.0
Almost Famous,2000-09-15,R,Adventure,2000,"September 22, 2000 (United States)",7.9,260000.0,Cameron Crowe,Cameron Crowe,Billy Crudup,United States,60000000.0,47386287.0,Columbia Pictures,122.0
Whip It,2009-04-09,PG-13,Drama,2009,"October 2, 2009 (United States)",6.9,65000.0,Drew Barrymore,Shauna Cross,Elliot Page,United States,15000000.0,16691303.0,Fox Searchlight Pictures,111.0
Boy Erased,2018-09-24,R,Biography,2018,"November 8, 2018 (Australia)",6.9,35000.0,Joel Edgerton,Garrard Conley,Lucas Hedges,Australia,11000000.0,11853081.0,Focus Features,115.0
Persepolis,2007-06-27,PG-13,Animation,2007,"February 22, 2008 (United States)",8.0,90000.0,Vincent Paronnaud,Marjane Satrapi,Chiara Mastroianni,France,7300000.0,22783978.0,2.4.7. Films,96.0
Mommy,2014-05-22,R,Drama,2014,"October 8, 2014 (Belgium)",8.1,53000.0,Xavier Dolan,Xavier Dolan,Anne Dorval,Canada,,13156856.0,Les Films Séville,139.0
Dope,2015-06-19,R,Adventure,2015,"June 19, 2015 (United States)",7.2,82000.0,Rick Famuyiwa,Rick Famuyiwa,Shameik Moore,United States,7000000.0,17986781.0,i am OTHER,103.0
An Education,2009-10-29,PG-13,Drama,2009,"February 5, 2010 (United States)",7.3,131000.0,Lone Scherfig,Lynn Barber,Carey Mulligan,United Kingdom,7500000.0,26096852.0,BBC Films,100.0
