name,released_tmdb,rating,genre,year,released,score,votes,director,writer,star,country,budget,gross,company,runtime
Now and Then,1995-10-20,PG-13,Comedy,1995,"October 20, 1995 (United States)",6.8,28000.0,Lesli Linka Glatter,I. Marlene King,Christina Ricci,United States,,37591674.0,New Line Cinema,100.0
Rang De Basanti,2006-01-26,Not Rated,Comedy,2006,"January 26, 2006 (United States)",8.1,115000.0,Rakeysh Omprakash Mehra,Renzil D'Silva,Aamir Khan,India,,10800778.0,ROMP,167.0
Maurice,1987-08-21,R,Drama,1987,"September 18, 1987 (United States)",7.7,17000.0,James Ivory,E.M. Forster,James Wilby,United Kingdom,,2642567.0,Merchant Ivory Productions,140.0
Beautiful Girls,1996-02-09,R,Comedy,1996,"February 9, 1996 (United States)",7.1,32000.0,Ted Demme,Scott Rosenberg,Matt Dillon,United States,,10597759.0,Miramax,112.0
L.I.E.,2001-01-20,Unrated,Crime,2001,"November 29, 2002 (United Kingdom)",7.1,9600.0,Michael Cuesta,Stephen M. Ryder,Brian Cox,United States,700000.0,1846059.0,Alter Ego Entertainment,97.0
School Ties,1992-09-18,PG-13,Drama,1992,"September 18, 1992 (United States)",6.9,23000.0,Robert Mandel,Dick Wolf,Brendan Fraser,United States,18000000.0,14715067.0,Paramount Pictures,106.0
Super Dark Times,2017-06-30,Not Rated,Crime,2017,"September 29, 2017 (United States)",6.6,21000.0,Kevin Phillips,Ben Collins,Owen Campbell,United States,,33109.0,Ways & Means,103.0
Submarine,2011-03-18,R,Comedy,2010,"March 18, 2011 (United Kingdom)",7.3,87000.0,Richard Ayoade,Richard Ayoade,Craig Roberts,United Kingdom,,3875173.0,The Weinstein Company,97.0
White Squall,1996-02-02,PG-13,Adventure,1996,"February 2, 1996 (United States)",6.6,22000.0,Ridley Scott,Charles Gieg Jr.,Jeff Bridges,United States,38000000.0,10292300.0,Hollywood Pictures,129.0
Camp,2003-09-05,PG-13,Comedy,2003,"August 29, 2003 (United States)",6.2,5700.0,Todd Graff,Todd Graff,Don Dixon,United States,,2707738.0,IFC Productions,114.0
Lucas,1986-03-28,PG-13,Comedy,1986,"March 28, 1986 (United States)",6.9,15000.0,David Seltzer,David Seltzer,Corey Haim,United States,6000000.0,8200000.0,Lawrence Gordon Productions,100.0
Udaan,2010-06-17,Not Rated,Drama,2010,"July 16, 2010 (India)",8.2,43000.0,Vikramaditya Motwane,Vikramaditya Motwane,Rajat Barmecha,India,,434862.0,UTV Spotboy,134.0
"Welcome Home, Roxy Carmichael",1990-10-12,PG-13,Comedy,1990,"October 12, 1990 (United States)",5.9,5000.0,Jim Abrahams,Karen Leigh Hopkins,Winona Ryder,United Kingdom,,3989297.0,Incorporated Television Company (ITC),95.0
The Mighty,1998-10-23,PG-13,Comedy,1998,"October 30, 1998 (United States)",7.3,13000.0,Peter Chelsom,Rodman Philbrick,Kieran Culkin,United States,,2652246.0,Chaos Productions,100.0
Flirting,1991-03-20,R,Drama,1991,"November 14, 1992 (United States)",7.2,5800.0,John Duigan,John Duigan,Noah Taylor,Australia,,2415396.0,Kennedy Miller Productions,99.0
Gas Food Lodging,1992-07-10,R,Drama,1992,"July 10, 1992 (United States)",6.6,3700.0,Allison Anders,Allison Anders,Brooke Adams,United States,,1342613.0,Cineville,101.0
White Water Summer,1987-07-10,PG,Adventure,1987,"July 10, 1987 (United States)",6.2,5200.0,Jeff Bleckner,Manya Starr,Kevin Bacon,United States,,300859.0,Columbia Pictures,90.0
Edge of Seventeen,1998-05-14,Not Rated,Comedy,1998,"April 20, 2000 (Australia)",6.8,6000.0,David Moreton,Todd Stephens,Chris Stafford,United States,700000.0,871759.0,Blue Streak Films,99.0
Liberty Heights,1999-11-17,R,Comedy,1999,"December 31, 1999 (United States)",7.0,6500.0,Barry Levinson,Barry Levinson,Adrien Brody,United States,,3736868.0,Baltimore Pictures,127.0
Real Women Have Curves,2002-10-18,PG-13,Comedy,2002,"November 8, 2002 (United States)",6.9,7200.0,Patricia Cardoso,Josefina Lopez,America Ferrera,United States,3000000.0,7777790.0,HBO Films,90.0
Little Darlings,1980-03-21,R,Comedy,1980,"March 21, 1980 (United States)",6.5,5100.0,Ron Maxwell,Kimi Peck,Tatum O'Neal,United States,,34326249.0,Stephen Friedman/Kings Road Productions,96.0
Calendar Girl,1993-09-03,PG-13,Comedy,1993,"September 3, 1993 (United States)",5.1,2100.0,John Whitesell,Paul W. Shapiro,Jason Priestley,United States,13000000.0,2570550.0,Parkway Productions,90.0
Vision Quest,1985-02-15,R,Drama,1985,"February 15, 1985 (United States)",6.6,8100.0,Harold Becker,Terry Davis,Matthew Modine,United States,,12993175.0,Warner Bros.,107.0
Breath,2017-06-22,TV-MA,Adventure,2017,"May 3, 2018 (Australia)",6.7,3000.0,Simon Baker,Gerard Lee,Samson Coulter,Australia,,3322479.0,Gran Via Productions,115.0
The Inevitable Defeat of Mister & Pete,2013-10-11,R,Drama,2013,"January 25, 2013 (United States)",7.5,5300.0,George Tillman Jr.,Michael Starrbury,Skylan Brooks,United States,,506303.0,iDeal Partners Film Fund,108.0
Some Girls,1988-09-09,R,Comedy,1988,"September 9, 1988 (United States)",5.8,3100.0,Michael Hoffman,Rupert Walters,Patrick Dempsey,United Kingdom,,401421.0,Metro-Goldwyn-Mayer (MGM),94.0
A Night in the Life of Jimmy Reardon,1988-07-21,R,Comedy,1988,"February 26, 1988 (United States)",5.5,2600.0,William Richert,William Richert,River Phoenix,United States,,6264058.0,Island Pictures,90.0
Beauty and the Beast,1983-11-11,G,Animation,1991,"November 22, 1991 (United States)",8.0,424000.0,Gary Trousdale,Linda Woolverton,Paige O'Hara,United States,25000000.0,424967620.0,Walt Disney Pictures,84.0
Beauty and the Beast,1983-11-11,PG,Family,2017,"March 17, 2017 (United States)",7.1,283000.0,Bill Condon,Stephen Chbosky,Emma Watson,United States,160000000.0,1264434525.0,Mandeville Films,129.0
Go,2001-10-20,R,Comedy,1999,"April 9, 1999 (United States)",7.2,68000.0,Doug Liman,John August,Sarah Polley,United States,20000000.0,28451622.0,Columbia Pictures,102.0
Brighton Beach Memoirs,1986-12-26,PG-13,Comedy,1986,"December 25, 1986 (United States)",6.8,3400.0,Gene Saks,Neil Simon,Blythe Danner,United States,18000000.0,11957943.0,Rastar Pictures,108.0
The Bay Boy,1984-09-06,R,Drama,1984,"February 15, 1985 (United States)",6.3,653.0,Daniel Petrie,Daniel Petrie,Liv Ullmann,Canada,,162364.0,International Cinema Corporation (ICC),107.0
The Chocolate War,1988-11-18,R,Drama,1988,"November 18, 1988 (United States)",6.7,2100.0,Keith Gordon,Robert Cormier,John Glover,United States,,303624.0,Management Company Entertainment Group (MCEG),100.0
Forever Young,2018-01-12,Not Rated,Drama,1983,"January 29, 1986 (United States)",6.7,51.0,David Drury,Ray Connolly,James Aubrey,United Kingdom,,,Channel Four Films,84.0
Forever Young,2018-01-12,PG,Drama,1992,"December 16, 1992 (United States)",6.3,45000.0,Steve Miner,J.J. Abrams,Mel Gibson,United States,,127956187.0,Warner Bros.,102.0
Rambling Rose,1991-09-10,R,Drama,1991,"September 20, 1991 (United States)",6.6,4700.0,Martha Coolidge,Calder Willingham,Laura Dern,United States,7500000.0,6266621.0,Carolco Pictures,112.0
Square Dance,1987-03-01,PG-13,Drama,1987,"January 9, 1988 (Japan)",5.9,878.0,Daniel Petrie,Alan Hines,Jason Robards,United States,,225358.0,Island Pictures,112.0
Smooth Talk,1985-11-17,PG-13,Drama,1985,"November 15, 1985 (United States)",6.5,2200.0,Joyce Chopra,Joyce Carol Oates,Treat Williams,United Kingdom,2400000.0,16785.0,American Playhouse,92.0
Tex,1982-07-30,PG,Drama,1982,"July 30, 1982 (United States)",6.5,2000.0,Tim Hunter,S.E. Hinton,Matt Dillon,United States,,7400000.0,Walt Disney Productions,103.0
There Goes My Baby,1994-09-02,R,Comedy,1994,"September 2, 1994 (United States)",6.4,1000.0,Floyd Mutrux,Floyd Mutrux,Dermot Mulroney,United States,10500000.0,123509.0,Nelson Entertainment,99.0
Cocoon,2020-08-13,PG-13,Comedy,1985,"June 21, 1985 (United States)",6.7,59000.0,Ron Howard,Tom Benedek,Don Ameche,United States,17500000.0,85313124.0,Twentieth Century Fox,117.0
Grown Ups,2008-11-12,PG-13,Comedy,2010,"June 25, 2010 (United States)",5.9,233000.0,Dennis Dugan,Adam Sandler,Adam Sandler,United States,80000000.0,271457301.0,Columbia Pictures,102.0
Life Is Beautiful,2012-09-14,PG-13,Comedy,1997,"December 20, 1997 (Italy)",8.6,642000.0,Roberto Benigni,Vincenzo Cerami,Roberto Benigni,Italy,20000000.0,230098753.0,Melampo Cinematografica,116.0
Desert Bloom,1986-01-22,PG,Drama,1986,"April 18, 1986 (United States)",6.6,937.0,Eugene Corr,Linda Remy,Jon Voight,United States,,416393.0,Carson Productions,105.0
"Grandview, U.S.A.",1984-08-03,R,Drama,1984,"August 3, 1984 (United States)",5.4,1800.0,Randal Kleiser,Ken Hixon,Jamie Lee Curtis,United States,,4743119.0,CBS Theatrical Films,97.0
The Intruder,2017-05-22,PG-13,Thriller,2019,"May 3, 2019 (United States)",5.6,15000.0,Deon Taylor,David Loughery,Michael Ealy,United States,8000000.0,36599361.0,Screen Gems,102.0
Beautiful Thing,2013-06-18,R,Comedy,1996,"October 9, 1996 (United States)",7.6,23000.0,Hettie Macdonald,Jonathan Harvey,Glen Berry,United Kingdom,,1548120.0,Channel Four Films,90.0
Homework,2004-05-03,R,Comedy,1982,"August 27, 1982 (United States)",3.5,322.0,James Beshears,Maurice Peterson,Joan Collins,United States,,2914328.0,Jensen Farley Pictures,90.0
Youngblood,1978-05-24,R,Drama,1986,"January 31, 1986 (United States)",6.2,13000.0,Peter Markle,Peter Markle,Rob Lowe,United States,,15448384.0,Blueline Productions,110.0
Class Reunion,2019-02-14,R,Comedy,1982,"October 29, 1982 (United States)",4.7,2000.0,Michael Miller,John Hughes,Gerrit Graham,United States,,10054150.0,ABC Motion Pictures,84.0
Last Dance,2019-10-04,R,Drama,1996,"May 3, 1996 (United States)",5.7,4000.0,Bruce Beresford,Steven Haft,Sharon Stone,United States,,5939449.0,Touchstone Pictures,103.0
Tea in the Harem,1985-04-30,,Drama,1985,"June 6, 1986 (United States)",6.9,397.0,Mehdi Charef,Mehdi Charef,Kader Boukhanef,France,,,Centre national du cinéma et de l'image animée (CNC),110.0
Everybody's Fine,2016-01-01,PG-13,Drama,1990,"May 31, 1991 (United States)",7.7,3700.0,Giuseppe Tornatore,Massimo De Rita,Marcello Mastroianni,Italy,,1745470.0,Erre Produzioni,118.0
Everybody's Fine,2016-01-01,PG-13,Adventure,2009,"December 4, 2009 (United States)",7.1,60000.0,Kirk Jones,Kirk Jones,Robert De Niro,United States,21000000.0,16443609.0,Miramax,99.0
Mother's Day,1948-08-27,PG-13,Comedy,2016,"April 29, 2016 (United States)",5.7,35000.0,Garry Marshall,Anya Kochoff,Jennifer Aniston,United States,25000000.0,48782670.0,Open Road Films (II),118.0
Greta,2021-04-09,R,Drama,2018,"March 1, 2019 (United States)",6.0,30000.0,Neil Jordan,Ray Wright,Isabelle Huppert,Ireland,,18653107.0,Sidney Kimmel Entertainment,98.0
Sisters,2020-11-22,R,Comedy,2015,"December 18, 2015 (United States)",6.0,64000.0,Jason Moore,Paula Pell,Amy Poehler,United States,30000000.0,105011053.0,Little Stranger,118.0
Bully,2013-06-19,TV-MA,Biography,2001,"December 12, 2001 (France)",6.9,35000.0,Larry Clark,Jim Schutze,Brad Renfro,United States,,704808.0,StudioCanal,108.0
Little Man,2014-08-11,PG-13,Comedy,2006,"July 14, 2006 (United States)",4.5,52000.0,Keenen Ivory Wayans,Keenen Ivory Wayans,Shawn Wayans,United States,64000000.0,104003322.0,Revolution Studios,98.0
Petit Con,1984-01-18,R,Comedy,1984,"April 19, 1985 (United States)",6.2,105.0,Gérard Lauzier,Gérard Lauzier,Guy Marchand,France,,127426.0,Gaumont International,90.0
